created_timestamp,preferred_marketplace,country,device_family,ASIN,User Action,Context,Gesture
2024-03-30T19:47:05Z,US,US,Kindle E-reader,B09DTJF1WD,exitBook,In-book,Tap
2024-03-30T21:36:20Z,US,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-03-31T01:03:39Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-15T00:46:36Z,US,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-04-15T00:46:11Z,US,US,Kindle E-reader,Not Available,Menu,KPP_HOME,Tap
2024-04-06T16:50:58Z,US,US,Kindle E-reader,B00BKK6E04,exitBook,In-book,Tap
2024-04-02T01:27:54Z,US,US,Kindle E-reader,B0BHLBHG79,Menu,In-book,Tap
2024-04-06T16:50:50Z,US,US,Kindle E-reader,B00BKK6E04,exitBook,In-book,Tap
2024-04-06T20:21:27Z,US,US,Kindle E-reader,B00FO60CH6,exitBook,In-book,Tap
2024-03-30T00:58:27Z,US,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-04-04T23:38:25Z,US,US,Kindle E-reader,B0BJJTTM8K,exitBook,In-book,Tap
2024-04-15T00:46:38Z,US,US,Kindle E-reader,Not Available,Back,KPP_LIBRARY,Tap
2024-03-31T12:47:27Z,US,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-04-15T00:55:47Z,US,US,Kindle E-reader,Not Available,Back,Store,Tap
2024-04-08T22:50:36Z,US,US,Kindle E-reader,B00QE1DLIC,exitBook,In-book,Tap
2024-03-30T01:44:53Z,US,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-04-10T02:50:24Z,US,US,Kindle E-reader,Not Available,KPP_CLOSE_BROWSER,Browser,Tap
2024-03-30T21:50:10Z,US,US,Kindle E-reader,Not Available,Menu,KPP_LIBRARY,Tap
2024-04-09T05:34:57Z,US,US,Kindle E-reader,B00QE1DLIC,exitBook,In-book,Tap
2024-04-15T00:46:48Z,US,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-04-15T00:46:31Z,US,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-04-15T00:56:01Z,US,US,Kindle E-reader,Not Available,Close,Store,Tap
2024-04-08T02:04:45Z,US,US,Kindle E-reader,B00N6PD7L0,exitBook,In-book,Tap
2024-03-29T02:57:27Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-29T02:57:22Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-07T17:52:28Z,US,US,Kindle E-reader,Not Available,exitBook,In-book,Tap
2024-04-08T02:11:28Z,US,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-03-30T01:46:26Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Goto,In-book,Tap
2024-03-30T01:04:49Z,US,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-04-06T01:48:40Z,US,US,Kindle E-reader,Not Available,exitBook,In-book,Tap
2024-04-15T00:54:37Z,US,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
2024-04-11T00:54:58Z,US,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
2024-03-29T02:56:17Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-08T02:49:20Z,US,US,Kindle E-reader,B00N6PD7L0,exitBook,In-book,Tap
2024-04-07T17:53:04Z,US,US,Kindle E-reader,B00H57X864,exitBook,In-book,Tap
2024-04-10T01:42:48Z,US,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-03-31T01:03:56Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-30T06:24:57Z,US,US,Kindle E-reader,B09DTJF1WD,exitBook,In-book,Tap
2024-03-29T02:56:08Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-29T02:56:30Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-30T19:52:02Z,US,US,Kindle E-reader,Not Available,KPP_CLOSE_BROWSER,Browser,Tap
2024-04-10T02:50:37Z,US,US,Kindle E-reader,B01LWVWGZW,exitBook,In-book,Tap
2024-04-11T00:54:57Z,US,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-04-02T01:26:58Z,US,US,Kindle E-reader,Not Available,Menu,In-book,Tap
2024-03-31T01:04:11Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-02T01:27:12Z,US,US,Kindle E-reader,Not Available,Menu,KPP_HOME,Tap
2024-03-30T01:44:05Z,US,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-03-30T07:15:05Z,US,US,Kindle E-reader,B09DTJF1WD,Goto,In-book,Tap
2024-04-11T00:54:45Z,US,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-03-30T05:39:20Z,US,US,Kindle E-reader,B07ZFZZ2GQ,exitBook,In-book,Tap
2024-03-31T01:04:16Z,US,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-04-07T17:52:56Z,US,US,Kindle E-reader,B00H57X864,exitBook,In-book,Tap
2024-03-30T01:44:51Z,US,US,Kindle E-reader,Not Available,Menu,KPP_SETTINGS,Tap
2024-03-29T02:57:00Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-31T01:03:47Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-30T19:52:44Z,US,US,Kindle E-reader,B09DTJF1WD,exitBook,In-book,Tap
2024-04-10T01:42:47Z,US,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
2024-03-30T00:58:23Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-30T21:48:58Z,US,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-04-06T20:23:04Z,US,US,Kindle E-reader,B00H57X864,AaMenu,In-book,Tap
2024-04-02T01:27:09Z,US,US,Kindle E-reader,Not Available,exitBook,In-book,Tap
2024-03-30T18:57:29Z,US,US,Kindle E-reader,B09DTJF1WD,exitBook,In-book,Tap
2024-04-08T22:51:08Z,US,US,Kindle E-reader,B00O6V45CS,exitBook,In-book,Tap
2024-03-30T01:44:40Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-30T00:55:42Z,US,US,Kindle E-reader,B0CYWDS6CT,exitBook,In-book,Tap
2024-04-15T20:07:43Z,US,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-03-31T00:33:11Z,US,US,Kindle E-reader,B07ZFZZ2GQ,exitBook,In-book,Tap
2024-04-08T02:04:51Z,US,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-03-30T00:58:18Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-04T03:11:29Z,US,US,Kindle E-reader,Not Available,Menu,KPP_HOME,Tap
2024-03-30T01:04:17Z,US,US,Kindle E-reader,Not Available,Menu,KPP_LIBRARY,Tap
2024-03-31T01:03:27Z,US,US,Kindle E-reader,Not Available,Menu,KPP_LIBRARY,Tap
2024-03-31T12:47:22Z,US,US,Kindle E-reader,B07ZFZZ2GQ,exitBook,In-book,Tap
2024-03-29T02:57:35Z,US,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-03-30T18:57:38Z,US,US,Kindle E-reader,B09DTJF1WD,Goto,In-book,Tap
2024-03-31T14:42:38Z,US,US,Kindle E-reader,B07ZFZZ2GQ,exitBook,In-book,Tap
2024-03-29T02:56:43Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-30T21:50:32Z,US,US,Kindle E-reader,Not Available,Close,ReadingList,Tap
2024-04-08T02:04:53Z,US,US,Kindle E-reader,Not Available,Menu,KPP_LIBRARY,Tap
2024-03-30T01:04:25Z,US,US,Kindle E-reader,Not Available,KPPPROFILES_FS_CLOSE,KPP_PROFILES_FAMILY_SHARING,Tap
2024-03-30T05:40:14Z,US,US,Kindle E-reader,B09DTJF1WD,Goto,In-book,Tap
2024-04-13T13:15:38Z,US,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
2024-04-06T02:19:37Z,US,US,Kindle E-reader,B00BKK6E04,Goto,In-book,Tap
2024-03-29T02:47:29Z,US,US,Kindle E-reader,Not Available,Close,Settings,Tap
2024-03-29T02:46:48Z,US,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-03-30T00:55:54Z,US,US,Kindle E-reader,*1a9c472a7d5089a9c584f12801fc383b43765ca5,exitBook,In-book,Tap
2024-04-08T22:50:29Z,US,US,Kindle E-reader,B00QE1DLIC,exitBook,In-book,Tap
2024-03-29T02:55:43Z,US,US,Kindle E-reader,Not Available,Menu,KPP_HOME,Tap
2024-03-30T01:44:02Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-30T00:58:07Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-30T00:57:14Z,US,US,Kindle E-reader,Not Available,Menu,KPP_LIBRARY,Tap
2024-04-06T00:51:39Z,US,US,Kindle E-reader,B008WOTQGU,exitBook,In-book,Tap
2024-04-10T01:42:53Z,US,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-04-08T14:06:24Z,US,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-04-02T01:27:18Z,US,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-04-08T22:50:18Z,US,US,Kindle E-reader,B00O6V45CS,exitBook,In-book,Tap
2024-03-30T00:58:21Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-06T22:22:01Z,US,US,Kindle E-reader,B00H57X864,exitBook,In-book,Tap
2024-04-06T17:18:22Z,US,US,Kindle E-reader,B00FO60CH6,AaMenu,In-book,Tap
2024-04-07T22:01:47Z,US,US,Kindle E-reader,B00N6PD7L0,AaMenu,In-book,Tap
2024-03-30T05:39:54Z,US,US,Kindle E-reader,B09DTJF1WD,Goto,In-book,Tap
2024-03-30T00:53:59Z,US,US,Kindle E-reader,Not Available,KPP_CLOSE_BROWSER,Browser,Tap
2024-04-06T01:47:49Z,US,US,Kindle E-reader,Not Available,Goto,In-book,Tap
2024-04-11T00:54:40Z,US,US,Kindle E-reader,Not Available,Menu,KPP_HOME,Tap
2024-04-11T03:24:55Z,US,US,Kindle E-reader,B01L7Q54NI,exitBook,In-book,Tap
2024-04-02T10:58:37Z,US,US,Kindle E-reader,B0BHLBHG79,exitBook,In-book,Tap
2024-03-29T02:46:51Z,US,US,Kindle E-reader,Not Available,Menu,KPP_HOME,Tap
2024-03-31T01:04:10Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-30T01:45:32Z,US,US,Kindle E-reader,B07ZFZZ2GQ,AaMenu,In-book,Tap
2024-03-29T02:56:53Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-02T01:26:16Z,US,US,Kindle E-reader,Not Available,exitBook,In-book,Tap
2024-03-30T01:44:00Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-15T00:45:52Z,US,US,Kindle E-reader,Not Available,exitBook,In-book,Tap
2024-04-06T22:47:55Z,US,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-03-30T21:48:47Z,US,US,Kindle E-reader,Not Available,exitBook,In-book,Tap
2024-03-30T01:44:34Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-29T02:46:08Z,US,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-04-06T02:19:10Z,US,US,Kindle E-reader,Not Available,Close,Store,Tap
2024-04-08T14:16:34Z,US,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-04-07T02:38:03Z,US,US,Kindle E-reader,B00O6V45E6,exitBook,In-book,Tap
2024-03-31T01:04:06Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-29T02:56:58Z,US,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
